Watt	66.54	-49.6	48.48	AA
Dorsa Stille	66.32	26.91	341.15	DO
Jacobi	66.28	-56.82	11.3	AA
Rima Furnerius	65.85	-35.3	61.17	RI
Huggins	65.79	-41.07	358.48	AA
Baco	65.31	-51.04	19.1	AA
Doppelmayer	65.08	-28.48	318.49	AA
Heinsius	64.87	-39.48	342.18	AA
Dorsum Gast	64.87	24.38	8.71	DO
Reichenbach	64.85	-30.48	47.95	AA
Pilâtre	64.37	-60.17	273.3	AA
Mercurius	64.3	46.66	66.07	AA
Gill	63.9	-63.77	75.95	AA
Dreyer	63.84	10.24	97.09	AA
De Sitter	63.79	79.81	38.57	AA
Lexell	63.7	-35.78	355.73	AA
Harlan	63.45	-38.31	79.65	AA
Apianus	63.44	-26.96	7.87	AA
Steinheil	63.28	-48.71	46.66	AA
Adams	63.27	-31.89	68.39	AA
Cleostratus	63.23	60.32	282.6	AA
Zucchius	63.18	-61.38	309.35	AA
Dorsum Higazy	63.1	27.93	342.53	DO
Macrobius	62.79	21.26	45.97	AA
Euctemon	62.7	76.26	30.57	AA
Promontorium Agarum	62.46	13.87	65.73	PR
Santbech	62.24	-20.99	44.06	AA
Abulfeda	62.23	-13.87	13.91	AA
Anuchin	62.14	-48.85	101.66	AA
von Braun	61.83	41.04	281.92	AA
Peirescius	61.53	-46.4	67.8	AA
Mons Argaeus	61.48	19.33	29.01	MO
Miller	61.37	-39.37	0.78	AA
Boole	61.34	63.79	272.71	AA
Schumacher	61.31	42.42	60.81	AA
Lilius	61.18	-54.6	6.09	AA
Rimae Focas	61	-27.68	262.46	RI
Paneth	60.92	62.6	265.37	AA
Cusanus	60.87	71.82	69.4	AA
Guericke	60.75	-11.57	345.81	AA
Bullialdus	60.72	-20.75	337.74	AA
Dalton	60.69	17.07	275.55	AA
Chamberlin	60.41	-58.83	96.04	AA
Pictet	59.95	-43.56	352.51	AA
Blanchinus	59.9	-25.32	2.44	AA
Idel'son	59.82	-81.35	112.69	AA
Ibn Yunus	59.69	14.14	91.14	AA
Capuanus	59.69	-34.09	333.27	AA
Hanno	59.54	-56.46	71.38	AA
Wilkins	59.44	-29.58	19.58	AA
Lindblad	59.37	70.03	260.78	AA
Cavalerius	59.35	5.1	293.07	AA
Sylvester	59.28	82.65	278.78	AA
Bonpland	59.25	-8.38	342.67	AA
Montes Spitzbergen	59.19	34.47	354.79	MO
Langley	59.17	51.17	273.95	AA
Carpenter	59.06	69.52	308.77	AA
Mallet	58.92	-45.41	54.05	AA
Eratosthenes	58.77	14.47	348.68	AA
Street	58.52	-46.58	349.26	AA
Wrottesley	58.38	-23.9	56.62	AA
Lade	58.11	-1.33	9.99	AA
Baade	57.85	-44.75	277.97	AA
Murchison	57.83	5.07	359.79	AA
Fraunhofer	57.75	-39.52	59.06	AA
Rima Delisle	57.6	30.87	327.65	RI
Cannon	57.58	19.88	81.36	AA
Hamilton	57.45	-42.77	84.41	AA
Hippalus	57.36	-24.92	329.58	AA
Taruntius	57.32	5.5	46.54	AA
Lovelace	57.06	82.08	250.49	AA
Ulugh Beigh	57.04	32.67	278.04	AA
Rimae Arzachel	57	-18.31	358.62	RI
Merrill	56.99	74.83	242.55	AA
Cassini	56.88	40.25	4.64	AA
Firmicus	56.81	7.25	63.43	AA
Haber	56.79	83.4	265.37	AA
Froelich	56.73	80	248.37	AA
Marinus	56.55	-39.38	76.57	AA
Pentland	56.45	-64.57	11.34	AA
Behaim	56.21	-16.61	79.41	AA
Franklin	55.92	38.73	47.64	AA
Chappe	55.79	-61.29	268.76	AA
Pontanus	55.66	-28.42	14.36	AA
Petrov	55.44	-61.36	88.18	AA
Bunsen	55.22	41.4	274.54	AA
Catena Krafft	55.11	14.91	287.75	CA
Donner	55.05	-31.35	97.99	AA
Rimae Opelt	55	-13.64	341.86	RI
Kane	54.96	62.99	25.84	AA
Bartels	54.95	24.51	270.15	AA
Scoresby	54.93	77.73	14.13	AA
Strabo	54.72	61.94	54.42	AA
Moulton	54.7	-60.91	97.57	AA
Thebit	54.64	-22.01	355.98	AA
Saussure	54.56	-43.38	356.12	AA
Gum	54.55	-40.34	88.91	AA
Cannizzaro	54.51	55.5	260.27	AA
Epigenes	54.51	67.5	355.38	AA
Aristillus	54.37	33.88	1.21	AA
Burckhardt	54.36	31.11	56.39	AA
Maclaurin	54.33	-1.92	67.99	AA
Rima Agatharchides	54.25	-20.38	331.44	RI
Rima Birt	54.18	-21.4	350.72	RI
Stokes	53.85	52.36	271.89	AA
Lehmann	53.85	-39.96	303.83	AA
Maunder	53.8	-14.52	266.12	AA
Ritz	53.77	-15.37	92.38	AA
Büsching	53.49	-38.04	19.96	AA
Ginzel	53.23	14.25	97.4	AA
Challis	53.21	79.58	9.09	AA
Kaiser	53.15	-36.49	6.48	AA
Lindenau	53.08	-32.35	24.77	AA
Rimae Theaetetus	53	33.04	5.87	RI
Nefed'ev	52.94	-81.07	135.77	AA
Widmannstätten	52.88	-6.09	85.43	AA
Cavendish	52.64	-24.63	306.22	AA
Beals	52.61	37.11	86.58	AA
Montes Secchi	52.47	2.72	43.17	MO
Wexler	52.44	-68.88	90.71	AA
Catena Davy	52.34	-10.98	353.73	CA
Schorr	52.09	-19.45	89.8	AA
Nasireddin	51.99	-41.04	0.14	AA
Agatharchides	51.98	-19.85	328.89	AA
Schubert	51.94	2.78	81.01	AA
Anaxagoras	51.9	73.48	349.83	AA
Chevallier	51.83	45.01	51.57	AA
Shoemaker	51.82	-88.14	45.91	AA
Fourier	51.57	-30.31	306.9	AA
Mees	51.55	13.57	263.82	AA
Delambre	51.49	-1.94	17.39	AA
Porter	51.46	-56.15	349.82	AA
Haworth	51.42	-87.45	354.83	AA
Buch	51.31	-38.9	17.68	AA
Regnault	51.31	54.04	272.12	AA
Réaumur	51.25	-2.45	0.73	AA
Lauritsen	51.24	-27.54	96.31	AA
Krafft	51.15	16.56	287.28	AA
Neison	51.03	68.21	25.02	AA
Beaumont	50.69	-18.08	28.82	AA
Apollonius	50.66	4.51	60.96	AA
Brunner	50.66	-9.86	90.91	AA
Chacornac	50.44	29.88	31.67	AA
Purkyně	50.29	-1.54	94.86	AA
Boss	50.2	45.75	88.68	AA
Rupes Toscanelli	50.14	26.97	312.47	RU
Promontorium Heraclides	50	40.6	325.9	PR
Promontorium Laplace	50	46.84	334.49	PR
Rimae Maupertuis	50	51.24	337.18	RI
Hevesy	49.99	83.09	149.15	AA
Rutherfurd	49.98	-61.15	347.75	AA
Playfair	49.88	-23.56	8.45	AA
Rima Flammarion	49.75	-2.38	355.33	RI
Dugan	49.65	64.12	103.11	AA
Cardanus	49.57	13.27	287.5	AA
Eichstadt	49.57	-22.63	281.58	AA
Pallas	49.51	5.48	358.35	AA
Voskresenskiy	49.37	27.91	271.88	AA
Neander	49.22	-31.35	39.88	AA
Opelt	48.73	-16.32	342.36	AA
Kapteyn	48.65	-10.79	70.59	AA
Breislak	48.64	-48.31	18.31	AA
Berzelius	48.53	36.55	50.95	AA
Bayer	48.51	-51.62	324.86	AA
Shaler	48.47	-32.89	274.73	AA
Catena Timocharis	48.37	29.09	346.79	CA
Gyldén	48.15	-5.37	0.23	AA
Capella	48.13	-7.65	34.92	AA
Dubyago	48.12	4.38	69.95	AA
Lacus Hiemalis	48.04	15.01	13.97	LC
Rydberg	48.03	-46.43	263.57	AA
Cysatus	47.77	-66.21	353.66	AA
Almanon	47.76	-16.85	15.14	AA
