    CK14F030  2021 05 15.2610  5.691176  0.640193    3.1815  326.7562    6.5859  20201215   6.0  4.0  C/2014 F3 (Sheppard-Trujillo)                            MPC 94280
    PK14L020  2014 07 18.9053  2.218187  0.648114  182.6451  149.3492    5.1976  20201215  12.0  4.0  P/2014 L2 (NEOWISE)                                      MPC 98560
    PK14L030  2014 07  1.5029  1.846877  0.773874  178.6381  115.4703    6.2776  20201215  16.0  4.0  P/2014 L3 (Hill)                                         MPC 90769
    PK14M040  2014 12 24.8637  2.385435  0.593958  147.9539  263.2694    3.3355  20201215  15.0  4.0  P/2014 M4 (PANSTARRS)                                    MPC 91614
    PK14M04G  2024 09  6.6785  3.710117  0.259742  299.0945  311.7340    9.3714  20201215   9.5  4.0  P/2014 MG4 (Spacewatch-PANSTARRS)                        MPC103844
    PK14O030  2014 04 20.8210  4.642169  0.386206  204.5854   87.6427    7.8071  20201215  10.5  4.0  P/2014 O3 (PANSTARRS)                                    MPC 98560
    CK14O04E  2016 12 12.8386  6.248900  1.003019   65.8808  240.4130   81.3171  20201215  11.0  2.0  C/2014 OE4 (PANSTARRS)                                   MPEC 2020-AA5
    CK14R030  2016 08  8.8814  7.274651  0.999383  113.4483  334.0944   90.9195  20201215   6.5  4.0  C/2014 R3 (PANSTARRS)                                    MPC115880
    PK14R050  2022 08 19.0450  2.378909  0.413559  213.7224  126.5563    1.0883  20201215  15.0  4.0  P/2014 R5 (Lemmon-PANSTARRS)                             MPC 91615
    CK14S020  2015 12  9.0716  2.080429  0.987748   87.3045    8.1500   64.5133  20201215  10.0  4.0  C/2014 S2 (PANSTARRS)                                    MPC104790
    PK14U040  2021 02 13.5004  1.876099  0.465057  347.7352   11.8919    6.4288  20201215  18.0  4.0  P/2014 U4 (PANSTARRS)                                    MPC 91616
    PK14V010  2015 01 23.1525  2.553527  0.534149  177.5669  166.2019   22.5161  20201215  14.0  4.0  P/2014 V1 (PANSTARRS)                                    MPC 95211
    PK14W010  2023 12 20.3589  2.727472  0.388667  152.2505  246.2457    8.8384  20201215  15.5  4.0  P/2014 W1 (PANSTARRS)                                    MPC 93586
    CK14W020  2016 03  7.9873  2.673895  0.995271   84.9378   69.9825   82.0618  20201215   7.5  4.0  C/2014 W2 (PANSTARRS)                                    MPC110493
    PK14W040  2015 12 30.1426  4.276084  0.352054   67.8594   33.3544   15.2718  20201215  11.0  4.0  P/2014 W4 (PANSTARRS)                                    MPC105542
    CK14W100  2016 03  4.3142  7.573975  0.990694   43.6513   43.1056   82.8806  20201215   8.0  4.0  C/2014 W10 (PANSTARRS)                                   MPC115880
    PK14W120  2021 06 19.3080  1.674449  0.524135   36.9013  299.2897    8.5141  20201215  15.0  4.0  P/2014 W12 (Gibbs)                                       MPC 93587
    PK14X010  2015 01  1.0072  1.810054  0.708527   33.9799   61.5055   26.0030  20201215  15.0  4.0  P/2014 X1 (Elenin)                                       MPC 94281
    CK14Y010  2016 01 16.0287  2.253737  1.001420  182.3245   19.5632   14.9080  20201215   9.5  4.0  C/2014 Y1 (PANSTARRS)                                    MPC100579
    PK15A030  2015 02 18.0902  1.160349  0.851385  249.2399  277.1747  172.5294  20201215  20.0  4.0  P/2015 A3 (PANSTARRS)                                    MPC 92275
    PK15B010  2015 09 15.5389  5.999267  0.368475  188.8347  353.0189   18.0303  20201215   8.5  4.0  P/2015 B1 (PANSTARRS)                                    MPC 99270
    CK15B020  2016 05  5.5327  3.370437  0.999879  284.7181  341.8521  104.9943  20201215   9.5  4.0  C/2015 B2 (PANSTARRS)                                    MPC108592
    PK15B040  2015 02  4.5875  3.751886  0.560307  227.4794  266.0248    1.7599  20201215  11.0  4.0  P/2015 B4 (Lemmon-PANSTARRS)                             MPC109141
    PK15C010  2015 04 27.7232  2.895875  0.560266  178.3327  348.8220   13.8906  20201215  12.5  4.0  P/2015 C1 (TOTAS-Gibbs)                                  MPC101096
    CK15D030  2016 05  2.5953  8.144934  1.003681    2.9638  157.0575  128.5483  20201215   5.5  4.0  C/2015 D3 (PANSTARRS)                                    MPC119995
    PK15D050  2014 03 31.7473  4.586415  0.488816   39.9037   74.0599   20.4991  20201215   9.0  4.0  P/2015 D5 (Kowalski)                                     MPC109141
    PK15D060  2015 07  4.0373  4.559115  0.362015  125.1938   46.0365   20.2026  20201215  10.5  4.0  P/2015 D6 (Lemmon-PANSTARRS)                             MPC 96866
    CK15E61R  2017 05 10.4526  1.042926  0.997874   68.2994  235.1618    6.3391  20201215  11.0  2.0  C/2015 ER61 (PANSTARRS)                                  MPC112390
    CK15E61b  2017 05 10.4303  1.044644  0.999236   68.3886  235.1969    6.3407  20201215  13.5  2.0  C/2015 E61-B (PANSTARRS)                                 MPEC 2018-BF5
    PK15F010  2021 10 27.5232  2.543378  0.278078  187.4552   40.3928    2.8025  20201215  12.5  4.0  P/2015 F1 (PANSTARRS)                                    MPC109142
    CK15H020  2016 09 14.2520  4.977645  1.005651  288.0917  350.6796   33.6559  20201215   7.5  4.0  C/2015 H2 (PANSTARRS)                                    MPC117068
    PK15H16G  2024 10 28.3009  3.081716  0.351025   47.3743   58.8913   18.8046  20201215  12.5  4.0  P/2015 HG16 (PANSTARRS)                                  MPC100280
    PK15J030  2021 04 22.1490  1.492048  0.554379  129.4507  111.3511    8.1309  20201215  16.5  4.0  P/2015 J3 (NEOWISE)                                      MPC 95733
    PK15K050  2015 06  5.6924  3.000124  0.553571  106.3311  134.1770   39.9450  20201215  13.5  4.0  P/2015 K5 (PANSTARRS)                                    MPC 95213
    PK15M020  2015 09  9.0820  5.919356  0.181068  225.4164   86.5828    3.9729  20201215   8.5  4.0  P/2015 M2 (PANSTARRS)                                    MPC107684
